Energy_Meter_ID,Year,Month_Num,Present_Reading,Previous_Reading,Difference,Meter_Constant,Net_Energy_MU,Consumption_Ratio,Meter_Status_OK,meter_mean_diff,meter_std_diff,meter_mean_net,meter_std_net,meter_record_count,Diff_Zscore,Net_Energy_Zscore,Diff_Deviation_Ratio
KEB07711,2020,0,1158.95,1153.92,5.02999999999997,20000.0,100599.999999999,0.0043590543538546,1,0.1834782608695662,0.7445452523857999,3669.5652173913177,14890.905047715944,46,6.509371624626368,6.5093716246263655,27.41469194312764
Q0245899,2020,0,43.559,39.47,4.089,20000.0,81780.0,0.1035976691157841,1,9.431333333333336,3.55236493731814,190886.19718309864,68898.3537511435,72,-1.5038807745260914,-1.5835820631822837,0.4335548172757475
Q0245701,2020,0,44.183,32.588,11.595,10000.0,115950.0,0.3558058180925494,1,30.7575,17.940807879931587,587681.0256410255,399980.85516549455,40,-1.0680957138744565,-1.1793840118818784,0.376981224091685
Q0245949,2020,0,126.117,117.438,8.679,20000.0,173580.0,0.0739028253205947,1,37.31822222222222,12.470915139988511,764864.2253521127,242559.7629313648,72,-2.296481204525989,-2.437684709971553,0.232567348688755
Q0245773,2020,0,56.347,50.464,5.883,40000.0,235320.0,0.1165781547241598,1,29.999624999999973,45.97636836445583,1004875.5555555556,577514.2749601826,72,-0.5245439311088445,-1.3325307943403015,0.1961024512806412
Q0245716,2020,0,73.284,66.181,7.10300000000001,40000.0,284120.0,0.1073268762938005,1,21.62518055555556,14.921138887475545,876090.704225352,593584.408110889,72,-0.9732622063953258,-0.997281424741811,0.3284596853077018
Q0245847,2020,0,0.947,0.733,0.214,20000.0,4280.0,0.2919508867667121,1,54.00253333333333,32.792040365511475,1376707.7333333334,738008.7368551424,75,-1.64029236161543,-1.8596361598395488,0.0039627770549035
2208926,2020,0,14358.6,9579.3,4779.3,2000.0,9558600.0,0.4989195452694874,1,5373.7642857142855,944.0044907770816,10747528.57142857,1888008.981554164,14,-0.6297261205028132,-0.6297261205028131,0.8893765609901014
GECO2400,2020,0,22173.9,19795.6,2378.3,3000.0,7134900.00000001,0.1201428600295015,1,2296.385714285715,336.18099259211584,6889157.142857144,1008542.9777763454,14,0.2436612643763316,0.2436612643763432,1.0356709611998978
GECO2421,2020,0,32728.2,31915.9,812.299999999999,3000.0,2436900.0,0.0254512641034719,1,1269.6999999999998,422.7545249117192,3809099.999999999,1268263.574735157,13,-1.0819517546157935,-1.0819517546157915,0.6397574230133096
Q0245915,2020,0,242.553,183.57,58.983,120000.0,7077960.0,0.3213106716783788,1,60.67209302325582,17.88446336883331,7430185.7142857155,1932169.929421755,43,-0.0944447137395998,-0.1822954124905188,0.9721602974433668
Q0245881,2020,0,44.754,40.936,3.818,20000.0,76360.0,0.0932675395739691,1,5.491263888888889,3.54975705176635,110582.81690140846,71206.78268622402,72,-0.4713741995543827,-0.4806117564981538,0.6952861995442255
Q0245703,2020,0,50.731,43.052,7.679,20000.0,153580.0,0.1783656972962928,1,7.250782608695652,4.617262983933441,147553.7777777778,91751.76558343042,46,0.0927426903761826,0.0656796322545151,1.059058092679651
